Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ~nearby.map.filter.e /home/ubuntu/workspace/arras.io/src/server/server.js:3378:18
      1    0.0%    0.0%  Function: ~my.controllers.forEach.AI /home/ubuntu/workspace/arras.io/src/server/server.js:1372:26
      1    0.0%    0.0%  Function: ~mod /home/ubuntu/workspace/arras.io/src/server/lib/util.js:19:20
      1    0.0%    0.0%  Function: ~mark /home/ubuntu/workspace/arras.io/src/server/server.js:2228:16
      1    0.0%    0.0%  Function: ~makenpcs /home/ubuntu/workspace/arras.io/src/server/server.js:4285:10
      1    0.0%    0.0%  Function: ~makeRequireFunction internal/module.js:5:29
      1    0.0%    0.0%  Function: ~maintainloop /home/ubuntu/workspace/arras.io/src/server/server.js:4562:9
      1    0.0%    0.0%  Function: ~log console.js:124:37
      1    0.0%    0.0%  Function: ~life /home/ubuntu/workspace/arras.io/src/server/server.js:1590:6
      1    0.0%    0.0%  Function: ~killTools.forEach /home/ubuntu/workspace/arras.io/src/server/server.js:2150:22
      1    0.0%    0.0%  Function: ~isPrototype /home/ubuntu/workspace/arras.io/node_modules/lodash/lodash.js:6390:25
